positiv,negativ,active,passive,affil,hostile,strong,power,weak,submit,yes,no,negate,intrj,pleasur,pain,feel,need,persist,entry
,negativ,,,,,,,weak,,,,,,,,,,,abandon
,negativ,,,,,,,weak,,,,,,,,,,,abandonment
,negativ,,passive,,,,,,,,,,,,,,,,abate
,negativ,,passive,,,,,weak,submit,,,,,,,,,,abdicate
,negativ,,passive,,hostile,,,,,,,,,,,,,,abhor
positiv,,active,,affil,,,,,,,,,,,,,,,abide
positiv,,,,,,strong,,,,,,,,,,,,,ability
,negativ,,passive,,,,,weak,submit,,,,,,,,,,abject
positiv,,,,,,strong,,,,,,,,,,,,,able
,negativ,,,,,,,,,,,,,,,,,,abnormal
,negativ,active,,,hostile,strong,power,,,,,,,,,,,,abolish
,negativ,,,,,strong,,,,,,,,,,,,,abominable
positiv,,,passive,,,,,,,,,,,,,,,,abound
,negativ,,,,hostile,strong,,,,,,,,,,,,,abrasive
,negativ,,,,,,,,,,,,,,,,,,abrupt
,negativ,active,,,hostile,,,weak,submit,,,,,,,,,,abscond
,negativ,,,,,,,weak,,,,,,,,,,,absence
,negativ,,passive,,,,,weak,,,,,,,,,,,absent#1
,,,passive,,,,,,,,,,,,,,,,absent#2
,negativ,,passive,,,,,weak,,,,,,,,,,,absent-minded
,negativ,,,,hostile,,,weak,,,,,,,,,,,absentee
,,,,,,strong,,,,,,,,,,,,,absolute#1
,,,,,,strong,,,,yes,,,,,,,,,absolute#2
positiv,,active,,,,,,,,,,,,,,,,,absolve
positiv,,,,,,,,,,,,,,,,,,,absorbent
positiv,,,,affil,,,,,,,,,,,,,,,absorption
,negativ,,,,,,,,,,,,,,,,,,absurd
,negativ,,,,,,,,,,,,,,,,,,absurdity
positiv,,,,,,strong,,,,,,,,,,,,,abundance
positiv,,,,,,strong,,,,,,,,,,,,,abundant
,negativ,active,,,hostile,,,,,,,,,,,,,,abuse#1
,negativ,active,,,hostile,strong,,,,,,,,,,,,,abuse#2
,negativ,,,,,,,,,,,,,,,,,,abyss
positiv,,active,,affil,,,,,,,,,,,,,,,accede
,,active,,,,strong,,,,,,,,,,,,,accelerate
,,active,,,,strong,,,,,,,,,,,,,acceleration
positiv,,active,,,,,,,,,,,,,,,,,accentuate
positiv,,,passive,,,,,,submit,,,,,,,,,,accept
positiv,,,,,,,,,,,,,,,,,,,acceptable
positiv,,,passive,affil,,,,,,,,,,,,,,,acceptance
positiv,,,,,,,,,,,,,,,,,,,accessible
positiv,,,,,,strong,,,,,,,,,,,,,accession
,negativ,,,,,,,,,,,,,,,,,,accident
positiv,,,,,,,,,,,,,,,,,,,acclaim
positiv,,,,,,,,,,,,,,,,,,,acclamation
positiv,,,,,,,,,,,,,,,,,,,accolade
positiv,,active,,,,,,,,,,,,,,,,,accommodate
positiv,,,,,,,,,,,,,,,,,,,accommodation
positiv,,,,,,,,,,,,,,,,,,,accompaniment
,,active,,affil,,,,,,,,,,,,,,,accompany#1
positiv,,active,,,,strong,power,,,,,,,,,,,,accomplish
positiv,,active,,,,strong,power,,,,,,,,,,,,accomplishment
positiv,,,,,,,,,,,,,,,,,,,accord#2
positiv,,,,,,,power,,,,,,,,,,,,accord#3
positiv,,,,,,,,,,,,,,,,,,,accord#5
positiv,,,,,,,,,,,,,,,,,,,accordance
,negativ,active,,,hostile,,,,,,,,,,,,,,accost
,,active,,,,,,,,,,,,,,,,,account#5
,,,,,,,,,,,,negate,,,,,,,account#8
positiv,,,,,,,,,,,,,,,,,,,accountable
positiv,,active,,,,,,,,,,,,,,,,,accrue
,,active,,,,,,,,,,,,,,,,,accumulate
,,active,,,,,,,,,,,,,,,,,accumulation
positiv,,,,,,,,,,,,,,,,,,,accuracy
positiv,,,,,,,,,,,,,,,,,,,accurate
positiv,,,,,,,,,,,,,,,,,,,accurateness
,negativ,,,,hostile,,,,,,,,,,,,,,accursed
,negativ,,,,hostile,,,,,,,,,,,,,,accusation
